binom_name,filename
Portulaca.oleracea,Portulaca.oleracea_reg_covariate_ensemble.tif
Potentilla.anserina,Potentilla.anserina_reg_covariate_ensemble.tif
Potentilla.erecta,Potentilla.erecta_reg_covariate_ensemble.tif
Potentilla.recta,Potentilla.recta_reg_covariate_ensemble.tif
Potentilla.reptans,Potentilla.reptans_reg_covariate_ensemble.tif
Primula.elatior,Primula.elatior_reg_covariate_ensemble.tif
Primula.veris,Primula.veris_reg_covariate_ensemble.tif
Prunella.vulgaris,Prunella.vulgaris_reg_covariate_ensemble.tif
Prunus.avium,Prunus.avium_reg_covariate_ensemble.tif
Prunus.cerasifera,Prunus.cerasifera_reg_covariate_ensemble.tif
Prunus.domestica,Prunus.domestica_reg_covariate_ensemble.tif
Prunus.laurocerasus,Prunus.laurocerasus_reg_covariate_ensemble.tif
Prunus.padus,Prunus.padus_reg_covariate_ensemble.tif
Prunus.spinosa,Prunus.spinosa_reg_covariate_ensemble.tif
Pteridium.aquilinum,Pteridium.aquilinum_reg_covariate_ensemble.tif
Pulmonaria.officinalis,Pulmonaria.officinalis_reg_covariate_ensemble.tif
Pulsatilla.vulgaris,Pulsatilla.vulgaris_reg_covariate_ensemble.tif
Pyrola.rotundifolia,Pyrola.rotundifolia_reg_covariate_ensemble.tif
Pyrus.communis,Pyrus.communis_reg_covariate_ensemble.tif
Quercus.robur,Quercus.robur_reg_covariate_ensemble.tif
Ranunculus.acris,Ranunculus.acris_reg_covariate_ensemble.tif
Ranunculus.bulbosus,Ranunculus.bulbosus_reg_covariate_ensemble.tif
Ranunculus.ficaria,Ranunculus.ficaria_reg_covariate_ensemble.tif
Ranunculus.glacialis,Ranunculus.glacialis_reg_covariate_ensemble.tif
Ranunculus.sceleratus,Ranunculus.sceleratus_reg_covariate_ensemble.tif
Ranunculus.thora,Ranunculus.thora_reg_covariate_ensemble.tif
Reseda.luteola,Reseda.luteola_reg_covariate_ensemble.tif
Rhamnus.cathartica,Rhamnus.cathartica_reg_covariate_ensemble.tif
Rhododendron.ferrugineum,Rhododendron.ferrugineum_reg_covariate_ensemble.tif
Ribes.nigrum,Ribes.nigrum_reg_covariate_ensemble.tif
Ribes.rubrum,Ribes.rubrum_reg_covariate_ensemble.tif
Robinia.pseudoacacia,Robinia.pseudoacacia_reg_covariate_ensemble.tif
Rosa.canina,Rosa.canina_reg_covariate_ensemble.tif
Rosa.gallica,Rosa.gallica_reg_covariate_ensemble.tif
Rosa.pendulina,Rosa.pendulina_reg_covariate_ensemble.tif
Rosmarinus.officinalis,Rosmarinus.officinalis_reg_covariate_ensemble.tif
Rubia.tinctorum,Rubia.tinctorum_reg_covariate_ensemble.tif
Rubus.idaeus,Rubus.idaeus_reg_covariate_ensemble.tif
Rumex.acetosa,Rumex.acetosa_reg_covariate_ensemble.tif
Rumex.alpinus,Rumex.alpinus_reg_covariate_ensemble.tif
Rumex.crispus,Rumex.crispus_reg_covariate_ensemble.tif
Rumex.patientia,Rumex.patientia_reg_covariate_ensemble.tif
Ruscus.aculeatus,Ruscus.aculeatus_reg_covariate_ensemble.tif
Ruta.graveolens,Ruta.graveolens_reg_covariate_ensemble.tif
Salix.alba,Salix.alba_reg_covariate_ensemble.tif
Salix.daphnoides,Salix.daphnoides_reg_covariate_ensemble.tif
Salix.purpurea,Salix.purpurea_reg_covariate_ensemble.tif
Salix.viminalis,Salix.viminalis_reg_covariate_ensemble.tif
Salvia.officinalis,Salvia.officinalis_reg_covariate_ensemble.tif
Sambucus.ebulus,Sambucus.ebulus_reg_covariate_ensemble.tif
Sambucus.nigra,Sambucus.nigra_reg_covariate_ensemble.tif
Sanguisorba.minor,Sanguisorba.minor_reg_covariate_ensemble.tif
Sanguisorba.officinalis,Sanguisorba.officinalis_reg_covariate_ensemble.tif
Sanicula.europaea,Sanicula.europaea_reg_covariate_ensemble.tif
Saponaria.officinalis,Saponaria.officinalis_reg_covariate_ensemble.tif
Satureja.hortensis,Satureja.hortensis_reg_covariate_ensemble.tif
Saxifraga.granulata,Saxifraga.granulata_reg_covariate_ensemble.tif
Scabiosa.columbaria,Scabiosa.columbaria_reg_covariate_ensemble.tif
Scleranthus.annuus,Scleranthus.annuus_reg_covariate_ensemble.tif
Scrophularia.nodosa,Scrophularia.nodosa_reg_covariate_ensemble.tif
Secale.cereale,Secale.cereale_reg_covariate_ensemble.tif
Sedum.acre,Sedum.acre_reg_covariate_ensemble.tif
Sedum.album,Sedum.album_reg_covariate_ensemble.tif
Sedum.telephium,Sedum.telephium_reg_covariate_ensemble.tif
Sempervivum.tectorum,Sempervivum.tectorum_reg_covariate_ensemble.tif
Senecio.jacobaea,Senecio.jacobaea_reg_covariate_ensemble.tif
Senecio.vulgaris,Senecio.vulgaris_reg_covariate_ensemble.tif
Silybum.marianum,Silybum.marianum_reg_covariate_ensemble.tif
Sinapis.alba,Sinapis.alba_reg_covariate_ensemble.tif
Sinapis.arvensis,Sinapis.arvensis_reg_covariate_ensemble.tif
Solanum.dulcamara,Solanum.dulcamara_reg_covariate_ensemble.tif
Solanum.nigrum,Solanum.nigrum_reg_covariate_ensemble.tif
Solanum.tuberosum,Solanum.tuberosum_reg_covariate_ensemble.tif
Solidago.canadensis,Solidago.canadensis_reg_covariate_ensemble.tif
Solidago.virgaurea,Solidago.virgaurea_reg_covariate_ensemble.tif
Sorbus.aucuparia,Sorbus.aucuparia_reg_covariate_ensemble.tif
Sorbus.domestica,Sorbus.domestica_reg_covariate_ensemble.tif
Stachys.officinalis,Stachys.officinalis_reg_covariate_ensemble.tif
Stachys.palustris,Stachys.palustris_reg_covariate_ensemble.tif
Stachys.recta,Stachys.recta_reg_covariate_ensemble.tif
Stachys.sylvatica,Stachys.sylvatica_reg_covariate_ensemble.tif
Stellaria.media,Stellaria.media_reg_covariate_ensemble.tif
Succisa.pratensis,Succisa.pratensis_reg_covariate_ensemble.tif
Symphytum.officinale,Symphytum.officinale_reg_covariate_ensemble.tif
Tanacetum.vulgare,Tanacetum.vulgare_reg_covariate_ensemble.tif
Taxus.baccata,Taxus.baccata_reg_covariate_ensemble.tif
Teucrium.chamaedrys,Teucrium.chamaedrys_reg_covariate_ensemble.tif
Teucrium.scordium,Teucrium.scordium_reg_covariate_ensemble.tif
Teucrium.scorodonia,Teucrium.scorodonia_reg_covariate_ensemble.tif
Thuja.occidentalis,Thuja.occidentalis_reg_covariate_ensemble.tif
Thymus.vulgaris,Thymus.vulgaris_reg_covariate_ensemble.tif
Tilia.cordata,Tilia.cordata_reg_covariate_ensemble.tif
Tragopogon.pratensis,Tragopogon.pratensis_reg_covariate_ensemble.tif
Trifolium.arvense,Trifolium.arvense_reg_covariate_ensemble.tif
Triticum.aestivum,Triticum.aestivum_reg_covariate_ensemble.tif
Tussilago.farfara,Tussilago.farfara_reg_covariate_ensemble.tif
Urtica.dioica,Urtica.dioica_reg_covariate_ensemble.tif
Urtica.urens,Urtica.urens_reg_covariate_ensemble.tif
Vaccinium.myrtillus,Vaccinium.myrtillus_reg_covariate_ensemble.tif
Valeriana.officinalis,Valeriana.officinalis_reg_covariate_ensemble.tif
Veratrum.album,Veratrum.album_reg_covariate_ensemble.tif
Verbascum.thapsus,Verbascum.thapsus_reg_covariate_ensemble.tif
Verbena.officinalis,Verbena.officinalis_reg_covariate_ensemble.tif
Veronica.beccabunga,Veronica.beccabunga_reg_covariate_ensemble.tif
Veronica.officinalis,Veronica.officinalis_reg_covariate_ensemble.tif
Viburnum.opulus,Viburnum.opulus_reg_covariate_ensemble.tif
Vicia.faba,Vicia.faba_reg_covariate_ensemble.tif
Vinca.minor,Vinca.minor_reg_covariate_ensemble.tif
Vincetoxicum.hirundinaria,Vincetoxicum.hirundinaria_reg_covariate_ensemble.tif
Viola.hirta,Viola.hirta_reg_covariate_ensemble.tif
Viola.tricolor,Viola.tricolor_reg_covariate_ensemble.tif
Viscum.album,Viscum.album_reg_covariate_ensemble.tif
Vitis.vinifera,Vitis.vinifera_reg_covariate_ensemble.tif
Zea.mays,Zea.mays_reg_covariate_ensemble.tif
